,START_X,END_X,START_Y,END_Y
142,5424730.7591,5424730.3445,4176923.4938,4176923.6285
143,5426051.4448,5426050.5421,4176254.7956,4176254.6982
144,5425146.641,5425145.7823,4178221.0749,4178221.028
145,5425468.8763,5425469.1532,4172683.7966,4172682.8805
146,5425257.7052,5425257.6994,4174033.8627,4174033.2229
147,5425960.5726,5425960.0223,4174748.8457,4174748.2858
148,5427811.2439,5427811.7339,4175568.3158,4175568.0144
149,5429272.1002,5429272.0455,4176669.6972,4176670.6391
150,5421710.8772,5421711.4037,4186332.9248,4186333.1425
151,5432072.931,5432072.8292,4186284.6842,4186285.3232
152,5432708.0547,5432707.6633,4185005.1585,4185005.9807
153,5378102.3154,5378101.4688,4204108.6637,4204108.4118
154,5432912.5701,5432911.966,4185262.5488,4185263.1949
155,5432325.3494,5432325.8365,4188399.6091,4188399.5921
156,5366337.9758,5366337.3056,4194516.4644,4194517.3059
157,5364913.8571,5364914.5233,4197113.6916,4197113.8799
158,5378613.3065,5378613.9837,4221361.9045,4221361.344
159,5389568.8042,5389568.7525,4209952.5654,4209953.445
160,5383817.5452,5383817.024,4207474.8988,4207475.7226
161,5427317.4565,5427317.6981,4198824.9575,4198825.3675
162,5376586.2054,5376586.0785,4255085.2324,4255084.331
163,5428697.4005,5428696.7828,4175636.1991,4175635.7783
164,5428451.2931,5428451.465,4174396.1436,4174394.9537
165,5430368.3062,5430368.8305,4176417.0032,4176416.4013
166,5421591.934,5421591.181,4203712.228,4203712.5987
167,5391811.7836,5391811.6766,4211251.1432,4211250.4781
168,5405282.7935,5405282.3147,4216866.737,4216865.8945
169,5430581.1968,5430581.0162,4172899.8431,4172899.4819
170,5426012.2373,5426012.884,4190344.8055,4190345.3714
171,5408225.8238,5408226.3405,4218615.2803,4218615.1771
172,5368540.8886,5368547.2625,4215665.163,4215665.5835
173,5430209.147,5430209.2174,4188729.6778,4188728.734
174,5414917.6778,5414916.5666,4216269.0847,4216268.9079
175,5429483.2671,5429487.8623,4178003.4434,4178003.8827
176,5432578.0052,5432581.6199,4191697.602,4191698.8417
177,5432161.5048,5432161.9479,4191021.3784,4191021.6458
178,5429208.3205,5429208.2881,4177783.7943,4177783.6103
179,5421772.9941,5421772.8249,4174872.6063,4174871.8524
180,5424603.587,5424605.4072,4175552.6701,4175546.7776
181,5363956.2859,5363957.1064,4224862.9488,4224863.351
182,5376249.2902,5376248.3264,4206546.6391,4206546.8873
183,5349451.6128,5349455.3065,4228279.746,4228279.3479
184,5423903.3621,5423907.349,4193933.3219,4193931.705
185,5411487.0173,5411479.7591,4212274.9672,4212276.7839
186,5426223.9449,5426220.3294,4190417.0562,4190419.2469
187,5387299.7082,5387301.1452,4202980.1627,4202983.6206
188,5368612.1337,5368616.0248,4191901.7275,4191900.6841
189,5361496.745,5361495.5814,4230821.8127,4230824.6445
190,5429646.8722,5429646.2832,4188426.8319,4188429.3445
191,5400346.5022,5400350.5985,4196933.4318,4196932.5914
192,5391207.082,5391208.6157,4210639.3211,4210640.6295
193,5349371.676,5349372.6056,4228336.6675,4228336.5304
194,5373285.4742,5373282.6508,4247858.9758,4247863.2971
195,5426829.3841,5426829.5331,4188794.0708,4188796.6917
196,5404844.2446,5404843.7023,4217188.6394,4217189.1719
197,5371911.285,5371912.3507,4186259.5055,4186257.9463
198,5424798.7848,5424799.697,4177190.1272,4177190.8244
199,5429613.404,5429613.3367,4180867.9076,4180866.9965
200,5436864.6489,5436864.5464,4187737.1713,4187736.0969
201,5435991.8647,5435991.5125,4188755.5742,4188754.7786
202,5426587.4152,5426586.8455,4188367.5021,4188368.2568
203,5336312.6006,5336311.668,4232200.2683,4232200.2973
204,5402510.5664,5402511.5738,4191644.7,4191644.863
205,5424277.7775,5424277.0516,4175173.2437,4175172.741
206,5377075.5337,5377076.1483,4195138.7011,4195139.8529
207,5396451.6122,5396452.809,4196007.1704,4196006.8065
208,5391385.4618,5391385.8219,4181415.8995,4181415.4781
209,5428477.0144,5428482.095,4181856.1902,4181856.3631
210,5375594.8146,5375595.4248,4203723.5317,4203723.1419
211,5422300.4912,5422299.8408,4195009.0818,4195008.661
212,5376366.3561,5376366.6546,4205710.8646,4205711.6471
213,5376539.5042,5376539.4954,4227525.8277,4227526.1504
214,5431224.0174,5431224.1491,4189836.8484,4189836.2157
215,5398346.3687,5398346.9982,4205940.9594,4205941.5416
216,5439914.1388,5439913.8115,4179773.2098,4179773.2042
217,5439518.7151,5439517.6217,4177961.709,4177961.1461
218,5436288.9769,5436288.2613,4189717.0814,4189716.6137
219,5431678.6089,5431679.0763,4177306.9987,4177306.2106
220,5422746.6767,5422746.568,4176047.7451,4176047.2338
221,5422847.5454,5422847.207,4173726.2281,4173726.4871
222,5369755.9137,5369756.6879,4198079.2893,4198078.4769
223,5414187.169,5414186.4631,4195074.0391,4195071.8527
224,5422195.7979,5422195.1448,4193529.4071,4193530.0333
225,5421999.0666,5421998.6276,4193702.4963,4193702.356
226,5419959.7268,5419959.6791,4176136.4291,4176135.5719
227,5422973.8886,5422972.831,4176095.9016,4176095.6947
228,5420989.355,5420989.7767,4175108.1043,4175109.1658
229,5421024.0385,5421024.3692,4173231.6216,4173232.558
230,5422460.4302,5422460.1698,4173029.4431,4173029.6426
231,5418977.765,5418978.4853,4172307.3248,4172307.8353
232,5419093.0268,5419092.127,4172178.8374,4172178.5037
233,5422720.4245,5422720.192,4173509.9475,4173510.2353
234,5424619.1402,5424618.1108,4175689.7193,4175689.8949
235,5423137.1399,5423137.7535,4171776.0949,4171776.4687
236,5425885.1693,5425884.4481,4174249.2659,4174248.7552
237,5427730.091,5427730.8081,4174817.3384,4174816.9932
238,5429552.2929,5429552.1849,4176753.2598,4176754.1739
239,5410499.015,5410499.1924,4195993.3541,4195994.0887
240,5421784.237,5421783.5971,4186198.3691,4186197.7681
241,5433742.9866,5433743.2852,4181379.5028,4181379.8971
242,5431335.0479,5431335.631,4182940.9478,4182941.5563
243,5432398.4202,5432398.5632,4184860.8119,4184860.1101
244,5431361.7829,5431362.4144,4185820.9287,4185821.075
245,5432936.5997,5432937.3987,4186059.7312,4186058.9945
246,5434236.3822,5434236.2131,4185242.7239,4185241.9513
247,5430844.1688,5430843.7365,4178516.9715,4178517.8384
248,5427820.0231,5427819.4546,4200419.656,4200420.6582
249,5368551.802,5368552.1645,4196743.4559,4196742.9182
250,5364617.6427,5364618.238,4197729.4003,4197729.6871
251,5365219.8594,5365220.4088,4198105.2805,4198104.8338
252,5358167.0091,5358167.4306,4249106.141,4249105.3242
253,5356487.9939,5356487.4399,4250932.8157,4250933.3031
254,5434175.8479,5434176.3641,4180210.5842,4180209.6311
255,5426066.0857,5426062.3995,4190409.9346,4190412.0523
256,5379861.3658,5379863.8535,4233444.3197,4233446.2803
257,5422238.1712,5422239.1637,4172635.8007,4172635.5268
258,5364168.7335,5364167.9232,4212596.0255,4212596.6506
259,5373330.331,5373333.7454,4248086.5266,4248088.9124
260,5431573.8025,5431574.2118,4178911.3625,4178910.4768
261,5353587.7084,5353579.3575,4235298.7193,4235292.0291
262,5388141.4289,5388141.1088,4193095.4405,4193096.4244
263,5421337.4449,5421337.7976,4175365.3111,4175364.5378
264,5380322.263,5380320.6149,4233166.2153,4233166.9033
265,5433215.1513,5433218.0927,4179298.9549,4179297.5899
266,5427254.7702,5427253.5079,4197958.4496,4197955.0612
267,5422238.3693,5422245.0549,4189494.2581,4189492.4324
268,5419896.5487,5419901.8287,4202388.2447,4202387.4861
269,5420983.5597,5420982.1395,4174834.2463,4174841.0599
270,5399957.6555,5399954.2408,4199911.3381,4199910.0648
271,5421457.8835,5421461.3883,4200561.6045,4200563.4444
272,5432253.4621,5432253.3506,4194878.2921,4194878.992
273,5397720.2519,5397720.8711,4225866.8266,4225865.9866
274,5422199.9403,5422198.4833,4198504.0338,4198503.0301
275,5425275.7743,5425274.5323,4191339.033,4191335.3686
276,5385828.1011,5385827.2601,4193122.3135,4193121.9306
277,5421588.6513,5421588.3998,4200087.0727,4200086.3577
278,5436358.1642,5436358.1434,4186913.373,4186912.3895
