,START_X,END_X,START_Y,END_Y
208,5416930.2544,5416861.9812,4194279.7263,4194305.5451
209,5417642.312,5417566.7457,4195495.7808,4195521.9023
210,5417491.1791,5417415.6121,4195548.0234,4195574.144
211,5416541.3246,5416483.4065,4194429.1862,4194452.2796
212,5415596.7278,5415534.2204,4194811.4279,4194836.6599
213,5415534.2204,5415471.7127,4194836.6599,4194861.8916
214,5414561.8594,5414480.9456,4195025.326,4195035.3375
215,5413491.3769,5413512.3558,4195192.0338,4195257.6474
216,5413575.2938,5413596.2736,4195454.4906,4195520.1057
217,5413596.2736,5413617.2535,4195520.1057,4195585.7212
218,5404474.6637,5404494.7848,4187801.6074,4187724.2052
219,5404615.5047,5404635.6237,4187259.8024,4187182.4037
220,5365304.7817,5365355.7439,4214099.3377,4214167.2322
221,5365406.7065,5365457.6699,4214235.127,4214303.0219
222,5365518.7282,5365579.787,4214349.2795,4214395.537
223,5365701.9062,5365762.9666,4214488.0515,4214534.3085
224,5365762.9666,5365824.0275,4214534.3085,4214580.5654
225,5417883.4432,5417940.6451,4170696.5737,4170685.6582
226,5417940.6451,5417997.8471,4170685.6582,4170674.7423
227,5417997.8471,5418038.7626,4170674.7423,4170716.972
228,5423997.7805,5423912.7073,4175772.6112,4175766.244
229,5413215.4965,5413207.0866,4195067.4795,4195061.1352
230,5412952.3603,5412867.4511,4195109.8898,4195126.14
231,5413411.8945,5413350.2078,4195242.953,4195291.2276
232,5362729.5276,5362706.07,4198448.3652,4198449.3552
233,5362914.6499,5362974.0706,4198124.3725,4198063.4096
234,5362765.5676,5362781.5608,4203606.9159,4203529.4828
235,5363089.7717,5363116.3019,4202455.5582,4202379.3931
236,5363305.4582,5363332.849,4201858.2922,4201785.1412
237,5421285.3845,5421242.4936,4192228.0543,4192263.6752
238,5421242.4936,5421199.6024,4192263.6752,4192299.2959
239,5421199.6024,5421156.711,4192299.2959,4192334.9165
240,5397362.9889,5397319.3913,4185965.8908,4185998.8446
241,5422960.5532,5422973.8886,4176163.0483,4176095.9016
242,5422681.7883,5422631.8809,4175289.9736,4175247.9446
243,5422614.3515,5422608.5085,4175053.474,4174988.6513
244,5421769.5308,5421832.982,4175959.3479,4175907.672
245,5392269.9673,5392229.2821,4233363.8057,4233431.1979
246,5391637.9282,5391571.4633,4234189.396,4234244.1586
247,5386221.3614,5386171.6706,4190422.9951,4190369.3729
248,5385445.3885,5385404.3711,4189526.4248,4189464.4935
249,5385404.3711,5385363.3542,4189464.4935,4189402.5624
250,5385322.3377,5385281.3216,4189340.6315,4189278.7009
251,5370243.1781,5370201.1953,4213957.016,4213891.8572
252,5383366.0941,5383293.3448,4215326.1819,4215317.3741
253,5384499.1836,5384421.4284,4214879.7903,4214924.5983
254,5384349.5806,5384277.7322,4214966.0566,4215007.5146
255,5363381.8292,5363300.2901,4198640.439,4198616.4316
256,5364382.1065,5364429.2149,4198057.5059,4197991.8845
257,5390729.5601,5390654.2352,4234479.9562,4234450.4478
258,5394347.2237,5394397.009,4230073.8311,4230022.131
259,5395434.6091,5395496.047,4228892.0568,4228825.2078
260,5395690.5555,5395644.9325,4228501.4024,4228450.6344
261,5385154.2038,5385142.9324,4188861.4423,4188788.094
262,5385048.7872,5385036.3358,4187599.7275,4187524.8421
263,5384886.9309,5384936.4432,4186626.2557,4186574.2974
264,5384936.4432,5384985.9551,4186574.2974,4186522.3391
265,5350013.9913,5350035.7318,4227356.8313,4227285.4184
266,5364124.2879,5364152.2308,4199728.6507,4199657.5593
267,5361984.069,5362022.7264,4205735.5727,4205667.5234
268,5362022.7264,5362052.8137,4205667.5234,4205595.6237
269,5362203.2437,5362233.3284,4205236.1301,4205164.2324
270,5362517.1024,5362543.4592,4204422.7701,4204350.4665
271,5362675.2374,5362701.592,4203988.9544,4203916.6531
272,5365254.5646,5365289.2698,4198089.0643,4198072.8479
273,5364886.2693,5364900.0633,4197224.708,4197169.1997
274,5377920.8518,5377968.6146,4218927.8292,4218993.6752
275,5377855.2016,5377902.1556,4219483.3461,4219559.7258
276,5395895.5103,5395821.6786,4227306.9593,4227297.1746
277,5395207.6314,5395127.9514,4227219.426,4227209.7735
278,5395309.4502,5395255.2227,4227511.9824,4227575.4703
279,5350675.1907,5350720.3741,4226404.324,4226350.1497
280,5390451.1158,5390459.3933,4240882.1227,4240969.1928
281,5390475.9487,5390484.2266,4241143.3348,4241230.4068
282,5432474.7862,5432549.5045,4188403.75,4188405.8197
283,5432549.5045,5432624.2229,4188405.8197,4188407.8888
284,5432624.2229,5432698.9416,4188407.8888,4188409.9576
285,5378060.5663,5378009.2259,4219249.6408,4219308.067
286,5378317.1968,5378350.6622,4220598.9252,4220686.4579
287,5378581.5361,5378613.3065,4221282.6461,4221361.9045
288,5396935.1918,5396987.5339,4226916.8043,4226846.8047
289,5397039.8753,5397092.2159,4226776.8052,4226706.8059
290,5390509.0607,5390517.339,4241491.6271,4241578.7017
291,5390517.339,5390525.6173,4241578.7017,4241665.7772
292,5390558.7528,5390567.0529,4242013.8252,4242100.6434
293,5390575.3531,5390583.6533,4242187.4623,4242274.2819
294,5380559.815,5380487.586,4213988.1601,4213977.3452
295,5380623.6088,5380646.7463,4213313.2682,4213240.6856
296,5379016.1601,5379071.8751,4222421.9954,4222492.4725
297,5379321.4933,5379351.51,4222578.0817,4222533.3363
298,5379560.9478,5379646.3218,4222722.5185,4222746.5276
299,5379646.3218,5379731.6961,4222746.5276,4222770.5362
300,5380158.5742,5380243.9509,4222890.5701,4222914.5751
301,5380891.8661,5380914.1478,4212447.7764,4212375.6961
302,5424734.3185,5424671.8959,4193071.9772,4193054.1225
303,5424733.298,5424767.4411,4193150.1107,4193100.5339
304,5424570.592,5424538.3399,4193395.1097,4193441.6753
305,5362142.009,5362167.3419,4231729.3556,4231787.3923
306,5378401.3311,5378362.1391,4218825.0751,4218890.3852
307,5429020.5256,5428957.0784,4186034.8035,4185975.6799
308,5429555.4526,5429594.6674,4185311.8445,4185258.036
309,5373655.9725,5373685.429,4238435.191,4238488.9134
310,5380285.0776,5380261.1088,4214393.1472,4214464.5713
311,5380237.1396,5380213.1701,4214535.9957,4214607.4205
312,5380141.2597,5380117.2889,4214821.6973,4214893.1237
313,5379852.6072,5379828.4363,4215682.7687,4215754.9855
314,5379515.8846,5379492.0492,4216695.6457,4216768.229
315,5424421.7689,5424463.6421,4194372.5552,4194426.801
316,5424505.5156,5424547.3896,4194481.047,4194535.2931
317,5390696.7574,5390708.8336,4192224.4451,4192155.8102
318,5397975.1431,5398042.5268,4228340.2375,4228370.3657
319,5398042.5268,5398109.9108,4228370.3657,4228400.4935
320,5398109.9108,5398177.2953,4228400.4935,4228430.6211
321,5399584.7256,5399567.3792,4202087.5101,4202030.9374
322,5399502.0688,5399505.2925,4201821.1417,4201741.3262
323,5399787.9632,5399842.6579,4202450.1495,4202440.6724
324,5429530.5711,5429452.9294,4176741.7336,4176719.1398
325,5429452.9294,5429377.6467,4176719.1398,4176700.278
326,5400048.7062,5399978.3433,4197129.6094,4197196.8868
327,5399063.5487,5398993.1739,4198071.4854,4198138.7616
328,5398782.0444,5398711.6662,4198340.5896,4198407.8655
329,5386700.738,5386701.9892,4203332.6146,4203255.2008
330,5386704.4912,5386705.7423,4203100.375,4203022.9629
331,5379349.0301,5379325.1923,4217203.7377,4217276.3239
332,5393902.6569,5393820.1639,4210746.0413,4210779.1743
333,5393057.5093,5392975.0934,4210925.9208,4210934.7196
334,5398789.906,5398863.428,4228704.4439,4228737.2572
335,5399157.5206,5399231.0449,4228868.5068,4228901.3183
336,5399819.2556,5399892.784,4229163.7964,4229196.6046
337,5394545.4458,5394619.6625,4229862.8993,4229783.2835
338,5394842.3063,5394861.9706,4229544.436,4229519.067
339,5386713.2471,5386714.4977,4202558.5015,4202481.0931
340,5386566.2672,5386499.0311,4203404.6593,4203440.6811
341,5386499.0311,5386431.7945,4203440.6811,4203476.7027
342,5386162.8444,5386095.6058,4203620.7857,4203656.8057
343,5423756.592,5423735.4921,4192065.2251,4192025.4373
344,5390853.3261,5390901.2164,4182568.2773,4182511.114
345,5391114.0934,5391143.3669,4182118.4319,4182048.8437
346,5401235.7152,5401309.2979,4229291.2483,4229274.6226
347,5394943.0794,5395004.5232,4229426.8489,4229359.9999
348,5433316.033,5433366.101,4179068.388,4179095.8866
349,5413912.8402,5413880.6419,4198983.2037,4198919.9811
350,5413784.0493,5413768.0668,4198730.3151,4198733.6187
351,5413768.0668,5413726.3092,4198733.6187,4198676.089
352,5413368.0874,5413333.6538,4198216.5052,4198172.6696
353,5412148.1989,5412143.0695,4200005.9622,4200078.3511
354,5416340.179,5416303.6895,4204585.8313,4204524.0144
355,5416303.6895,5416267.2005,4204524.0144,4204462.1978
356,5367217.4823,5367257.8827,4233812.9906,4233748.5342
357,5367360.77,5367386.4913,4233580.86,4233538.9417
358,5367412.2124,5367437.9333,4233497.0234,4233455.1053
359,5367437.9333,5367463.654,4233455.1053,4233413.1872
360,5367463.654,5367489.3745,4233413.1872,4233371.2692
361,5386476.3478,5386516.1157,4200977.5079,4201058.1658
362,5381263.5125,5381196.2405,4214132.2037,4214105.4692
363,5381128.9688,5381061.6974,4214078.7345,4214051.9994
364,5381166.579,5381235.4165,4223147.8347,4223141.0767
365,5381710.8864,5381790.131,4223088.2493,4223079.4427
366,5382345.4459,5382424.0487,4223007.8767,4222995.0117
367,5382424.0487,5382502.6515,4222995.0117,4222982.1462
368,5382684.7715,5382736.5302,4222967.6338,4222966.8103
369,5382736.5302,5382788.289,4222966.8103,4222965.9866
370,5423837.6811,5423855.7371,4192210.872,4192265.4482
371,5423920.1342,5423935.3941,4192507.8507,4192568.0346
372,5424382.2579,5424323.4385,4192402.6358,4192354.6118
373,5424502.0241,5424540.6603,4192298.8293,4192251.1476
374,5368034.2297,5368102.346,4233014.4381,4232979.5661
375,5357938.8586,5357919.9821,4224011.806,4224070.9837
376,5419343.4317,5419292.5836,4203107.6608,4203167.9361
377,5419038.2957,5419076.2891,4203469.3014,4203547.0025
378,5428086.262,5428163.7386,4176108.8356,4176093.0053
379,5390290.2587,5390248.9234,4192362.2783,4192305.9349
380,5378784.9022,5378873.4223,4200585.633,4200573.8481
381,5382953.6154,5382937.7553,4222430.0751,4222427.1858
382,5401630.2005,5401650.2324,4229585.8511,4229658.0741
383,5401809.8925,5401879.854,4229158.2433,4229141.6174
384,5402439.5389,5402490.8453,4229008.5947,4228992.6336
385,5425023.4509,5425054.2866,4191654.4443,4191615.6459
386,5425054.2866,5425085.1221,4191615.6459,4191576.8474
387,5424926.5748,5424974.6651,4192232.1256,4192241.2115
388,5425022.7555,5425086.1901,4192250.2971,4192274.6772
389,5390854.5058,5390862.7478,4190742.4626,4190667.7726
390,5355646.6462,5355568.6356,4209864.3108,4209813.8317
391,5355334.608,5355256.6004,4209662.3925,4209611.9121
392,5355178.5934,5355100.5872,4209561.4316,4209510.9507
393,5379917.5973,5380003.1068,4200483.5026,4200480.23
394,5380345.1446,5380419.7234,4200467.1332,4200469.1483
395,5376700.0726,5376620.2537,4200990.3089,4200993.4507
396,5377015.4227,5376936.5058,4201122.655,4201156.4475
397,5393972.8345,5393970.5077,4210316.8973,4210383.8784
398,5393968.1808,5393988.8566,4210450.8599,4210504.2894
399,5390975.4465,5390983.4434,4189638.9762,4189565.8218
400,5354601.3223,5354529.9997,4209408.4604,4209393.8172
401,5428112.8478,5428167.7193,4187971.1696,4188017.8373
402,5431697.1229,5431750.0149,4189407.5021,4189461.7888
403,5431908.0153,5431960.2305,4189623.0989,4189675.8356
404,5431693.2769,5431652.6446,4189871.8832,4189947.2643
